index,Search Term
306,"1,1-dichloroacetone"
7479,Fe2.2Te2
4881,consolidated nickel monoxide
14281,RhGe4
15885,Tb2Co3Si
2031,AMP
15447,srr99 crystal structure
530,2-hydroxy-benzamide
4908,consolidated potassium iodide
15971,TDCS and depression
8871,Hongos radioactivos
20287,AgBiSe2
20474,"cyclopropane-1,1-dicarboxylic acid diethyl ester"
3872,Ce3O5
7734,ferroelectrics
4958,consolidated sodium sulfide
4822,consolidated lithium tetrahydroborate
19358,KCuF3
16734,TmBi2
1281,ag3tbbr6
2728,beryl crystal structure
18987,Cs3Cu2Cl5
14029,rb3euf6
1982,alSi10
3368,CA2NI7
12443,ni re ru
5158,CoSb3
5594,cs3rhf6
4900,consolidated palladium copper
4098,cesium
2670,Be12Nb
3369,Ca2P2O7
21035,TiC
10296,LiFe6Ge6
6729,effects of residual elements
18213,β-Ni(OH)2
6371,Development of solar energy systems based on high performance bulk and film thermoelectric modules
6217,CuZr8
17134,Viscosity ethanol octane
20899,consolidated α-tin (gray tin)
15168,SnTe
10115,Li-Te-Sb
13708,Principles of the Process of Ionitriding of Titanium and Its Alloys.
20773,TiN
870,"4-(1,1-dimethylethyl)-nonane"
7218,fatigue
5691,CsPbBr
8684,Hf-Yb-O
18558,AlCl3 crystal structure
5028,consolidated tungsten
5188,CPO-27-Ni
20637,molecular oxygen
21376,SiO2
19010,Cu-Al-Ni phase diagrams
21193,CrI3
15139,SnI4
8719,HfMn2
17689,YTiO3
2231,Au-Ni phase diagram
19899,Sc3Co
5302,Cr2Ge2Te6
16504,TiFeGe
9994,LaSiP3
9293,Islamic financial literacy
3266,C50Cl10
18732,CaSO4
16436,ti3zr3si3
8752,HfZrS6
8280,gear steel
13880,PtSi crystal structure
13410,phosphogypsum
11514,MO3SN
8911,https://materials.springer.com/
16670,tl3ticl6
18898,consolidated scandium oxide
19462,LiNbO3 crystal strucutre
3427,CaAI3
3095,but-1-en-3-yne
1551,al-la
20418,consolidated platinum
12663,NiCd2O6
13244,PdSb
4174,chromium oxide
16915,U fe
18455,"4-(1,1-dimethylethyl)nonane"
7623,Feature extraction
3942,CeCo5
12870,o-xylene
10449,LiZn
17676,YPO4 H2O
2653,BC8-Si
5458,crystal structure of Co2P
19674,NdFeO3 crystal structure
15479,SrTiNbO
19313,hydrocalumite
20917,ethyl acetate
12458,Ni-Al
13555,Polymer
17582,YbCu4Pd
10043,Les captures
10046,LES Determinants de la demand d impo
19049,CuTeS
19610,Na2WO4
20149,WN
6943,ErMnO3 crystal structure
12371,ndnio3
12091,Nb Ta
20707,Si
19108,Ethyl-3-nitrobenzoate
6529,Direct Microalloying of Steel with CeriumDirect Microalloying of Steel with Cerium under Slags of СаО–SiO2–Ce2O3–15% Al2O3–8% MgO System with Additional Reducing Agents
2505,BaFeO3
20260,β-Ga2O3
8897,hs
12221,NbOCl2
4466,CoFeB
1528,Al-Cu-V phase diagram
6454,diffusion in glasses
2478,BaCa3O3
19044,CuPt
655,"2,4,6-Triamino-1,3,5-triazine"
3654,CaTe2
18884,consolidated manganese phosphide
7251,Fe C phase diagram
19284,hexyl ethanoate
16157,thermal conductivity
9842,LaB6 crystal structure
16555,TiO2 crystal
4157,chloroform viscosity
12654,NiB2
4306,Co-Mo-Si
14464,Sb-Al
10157,Li2Mn2O4
15301,Sr2Cu2YRuO8
6827,energy storage system CONNECTED TO GRID
11166,Mn-Te
2878,BiCoTi
20255,α-Al2O3
11136,mn-ga
11293,MnCo2Ge
5143,Corannulene
2824,Bi2MoO6
20040,ThPd2B2C
12876,O^Ti
3306,Ca Si
3547,CaO Al2O3 SiO2 crystal
18392,1-(4'-Bromo-biphenyl-4-yl)-pentan-1-one
18603,Ba-Bi
16259,Ti P
17792,Zn-doped Sb2Te
7855,Formamidinium Bromide Perovskite Formamidinium lead Bromide
8949,Hydrotalcite
1276,ag3smbr6
21061,ZrB2
4996,consolidated titanium
635,"2,3-dimethylheptane"
7100,Eu2Sb3
17248,water
7662,FeGeTe
7315,fe-al
8987,immervise video
14869,Sillimanite crystal structure
9664,La Si
13608,powder-metallurgy high speed steel
1605,AL-RU
16935,UB2
2262,AuAl
17162,VSb3
9982,LaRuO3
10203,Li3GeN2
18098,ZrNiSi
21179,CdS
19802,Phthalocyanine
5108,CoO Crystal Structure
2551,Bandgap
16973,unit cell parameter
10902,Mg2Si
2840,Bi2Se3 debye temperature
19795,phenyl-acetyl chloride
12790,nitrobenzene
5205,Cr Rh phase diargam
19335,IrO2
11142,Mn-Ga-In
16398,Ti3
2444,Ba3(PO4)2
19396,La2NiO4
10390,LiOAc
2579,BaS
4891,consolidated niobium carbide
11229,mn3Ga
7022,"ethyl – 1,3 – dimethyl – hexane"
1392,Al Alloy
2713,benzoic acid
522,2-ethyl-butanal
6427,Dielectric constant
1513,Al-Cu-Mg
4008,CeP2 magnetic
8355,global trend of climate change on water resource
6134,CuMn2O4
19866,refractory metal tungsten zirconium Tungsten powder preparation
8851,HoCo2 transitions
4374,Co2MnAl
17767,Zn In
8528,ha
14946,Sm-co
19170,Fe3C
7946,Ga0.35As0.65P
10878,"mg1,77H0,236(SiO4)0,944"
21340,BaTiO3
4848,consolidated manganese monoxide
19656,NbO2
6875,Equipment for Regional Anaesthesia
6623,Dy2S3
1369,aisi
12669,Nickel base superalloy crystal structure
14562,Sc5Ir4Si10
11550,MoCo2
11840,Na2CoSi4O10
19244,GdGa2
17666,young's modulus Al
9367,K2Cr2O7 Crystal Structure
7700,FeOCl
20945,K-Tb-F
2098,aragonite
19519,MgO
6348,Derecho Procesal Constitucional
13876,ptse2
6537,Distribut MIMO LEO
5675,CSi
9858,LaCo2 magnetic transitions
16144,The role of human capital in achieving competitive advantage
19829,PrMn2Ge2
20357,CaAs phase diagram
14884,Simple physical model for the fragmentation of rock avalanches
326,"1,2 dimethyl cyclo hexanine"
4467,cofeni alloy
2452,Ba3Ta2O8
21062,α-Al2O3
16643,Tl2Fe6Se6
13586,polyvinylidene fluoride
4915,consolidated rhenium disulfide
9759,La2Fe14B
785,3-methyl-2-butene
5403,CRNBSI
7383,Fe-Mo-N
9775,La2O2S
9795,La3Cr10N11
19333,Ir3Ti
13859,PtCu3
1849,"Alain Damien, “La Biomasa fundamentos, Tecnologías y Aplicaciones”, AMV Ediciones, Madrid España 2010."
6294,Dbaas
15026,"Smith, A.N., Fischer, E., 2021. Pay attention, please! Person brand building in organized online attention economies. J. Acad. Market. Sci. 49 (2), 258–279."
12294,Nd2
5785,Cu Si
21250,FeO
12815,No
3559,CaO-Y2O3 phase
11379,MnSi
16633,Tl
7540,Fe3BO6
14767,Si-Zr-O phase diagrams
17028,V-Ga
13856,ptbi2
1223,Ag Zn binary phase diagram
9735,La0.9Sr0.1ScO3
19295,HfS2
7197,F P phase diagram
8989,impact loading
10058,Li 1.3 Nb 0.3 Fe 0.4 O 2
771,3-ethyl-pentane
13874,PtS2 crystal structure
10994,mgiso3 62
15024,smfeo3 crystal
3178,C10H12
18649,Bi-I
9036,In2S3
19482,LuNi2B2C
10025,LaZrNO₂
16080,tetramercapto copper
14373,Ruddelsden pooper
8796,Hiv genomics
14369,RuCl3
6815,"endo-Norbornene-cis-5,6-dicarboxylic acid"
8133,Gd3Fe5O12 structure
13072,Pb-Mg
14459,sb se bi
11020,MgPtSi
15898,Tb3Ge5
20208,zircon
2631,battery lithium sulfure cycles
19830,Proceedings of Sixth International Congress on Information and Communication Technology
12718,NiI2
6614,Dy-Te
15156,SnS2 xrd
6816,endocrine
20551,HoFe6Sn6
18542,Al2O3 Crystal structure
17048,"V. Van, ""Optical Microring Resonators: Theory, Techniques, and Applications"""
6404,diamond(111) crystal structure
7844,Fluoromethane
7426,Fe-Se
18388,(chloromethyl)benzene
5989,cu2se bel
6630,Dy3GaCoSe7
4082,CeRuSi3
52,(-)-Epicatechin
6490,Dimethyl sulfoxide
15220,solar panel system IOT
5508,cs2cucl4
7460,Fe(HT1)
2315,b fe ni
10799,Mg-Ag
5814,Cu-al2o3
5860,Cu-Mg
7809,finance
9680,La-Br
8964,I2 distribution coefficient
12154,Nb2O5fusion
10638,martensite bct
17095,valeramide
13686,Prediction of atomically thin two-dimensional single monolayer SnGe with high carrier mobility: a DFT study
2612,BaTiO3
16883,TS-1
3532,candalo4
4735,consolidated hafnium boride
1328,AgInSnSe4
6941,ErMnO3
2784,Bi-Cu Binary Phase Diagram
4448,cobalt refractive index
21113,H2O
7774,FeSi pahse
11179,Mn0.77Ge0.23 curie
10604,Magnetization properties
18985,Cs2TeBr6
20285,Ag2S
19962,SnS crystal structure
14337,RU-S
5633,cscdCl3
11864,Na2S2O7
7048,ethylene carbonate
10971,MgCr2O4
16773,toluol
21275,consolidated cobalt
7275,fe fcc
15184,social e-commerce
19058,decalin
1076,"A review on stress distribution, strength and failure of bolted composite joints"
3615,career advancement in medicine
7459,Fe(Ht1)
10901,Mg2Si
18380,陶瓷
16455,Ti6Fe10Ge13
7277,fe ge
14352,Ru2MnIn
2004,Aluminum
8380,gold 300
10700,metal injection molding
4799,consolidated lead monoselenide
12015,NaNiFeMnO2
8627,hexan-1-ol
9924,Landolt-Börnstein -
7535,Fe3Al
18260,БАЛТ
18705,CaB6
7491,Fe2C
391,10.1007/978-1-0716-1912-4_10
16582,TIS
10391,LiOD crystal structure
8746,HfTe5
16744,TmFe5O12 Crystal Structure
19632,nano
18315,راس المال البشري
19008,Cu-Al-Mn
12387,NdV6Sn6
16908,two-dimensional irregular strip packing
18364,苯
17790,Zn-Cu-Bi phase diagram
20702,Sb-Sn
12012,NaNi0.5Mn0.5O2
14031,rb3fef6
11791,Na-Al-V-P-O-F
16624,TiTe
8358,Glycerin
16091,Text Classification Feature extraction
801,3-Амино-4-фенилпиридин-2-он
184,[rh(nh3)3(no2)3]
14974,Sm2O3 free energy
12362,NdGa2
9077,increase weight of imbalanced data
13092,Pb2MgWO6
16779,Topacium crystal structure
10134,Li1.2Ti0.4Fe0.4O2
2270,Auermetall
2126,artificial intelligence techniques manufacturing
19217,GaAs crystall structure
15735,"Ta0.5W0.5Se2, grown by Chemcal Vapour method or Direct Vpour method for studying Electrical and optical properties..."
4405,Co3O4 Crystal structure
20028,tetradecane
9297,isobutylacetat
8440,"Greenhouse Gases: Sources, Sinks and Mitigation"
4047,CeRu2As2
6666,DyGE
8872,honi
7271,Fe Crystal Structure
735,3-bromobenzaldehyde
379,"1,8-dichloro-octane"
389,10.1002/anie.201710512
14657,Self-diffusion coefficient of pentane
13257,PEDOT
14003,rb2CO3
11160,Mn-Sn
12822,Nocedal
19423,LaRu3Ge2
19637,NaTbSe2
4631,consolidated chromium carbide
5192,Cr AlＣ
6846,enthalpie aluminium
4260,Co spectrum
20644,N2
12199,NbFeSb
18596,B-Re system
230,"1-butyl-4,4'-bipyridinium iodide"
14955,Sm-Mo-o
20668,Ni-Fe-Zr
3891,ce4ruin
11425,Mo S
12755,Niooh
3093,"Building upon the conceptual model for soil mercury flux: evidence of a link between moisture evaporation and hg evasion. Water Air and Soil Pollution 224. Carpi, A., Lindberg, S.E"
19603,Na-Zn
18295,Фд3Еш
12564,Ni2Mn crystal structure
1512,Al-Cu-Lu
12968,osmium tetraoxide
16129,The influence of the electromagnetic field on water
14496,Sb2S3 Crystal Structure
11975,NaCoO2
16095,Th Ni As N
1319,AgFe6Ge6
20819,β-Ti
9100,InF3 rt
21156,Ti-Al
8739,HfS
6458,diffusion in titanium
15689,Ta formation energy
4212,ClF3 lt2
15090,Sn-S
5221,Cr-Al
19318,In-Ni crystal structure
15326,Sr2P2P3
16342,Ti-V-Si
9492,KAl2（AlSi3O10）（OH）2
2926,biocl
4387,CO2SI
3552,CaO band gap
2741,Betolt Brecht
16432,TI3SIC2
4729,consolidated germanium(ii) sulfide
4042,cermet
21103,Fe3Ge
14447,Sapphire
19185,FeGaS
9401,k313
10500,Lu13Zn58
10549,LuNiO2
19765,pbte
5380,creep of Ti
21128,methylcyclohexane
7412,Fe-phosphine
20614,mg2nd
82,(E)-2-Butenedial
15109,Sn(OH)2 formation energy
4834,consolidated magnesium oxide (periclase)
1354,AgSnAsSe3
395,10.1007/978-3-662-45972-0
19934,SiO2 cristal structure
15407,SrFeO3 crystal structure
5819,Cu-Au
863,3R NbS2
17722,"Zhdanov A A, Klimov D M, Korolev V V, et al. Modeling parallel parking a car[J]. Journal of Comput‐ er and Systems Sciences International, 2008, 47(6): 907-917"
17023,V-Cr-N
17791,Zn-Cu-In phase diagram
18774,CeP3O7H8
7793,FeV4S8
20109,tungsten
13042,Paraffine
9456,k3sbbr6
7234,Fe
1206,ag au pt isothermal section
11737,n-si-y-o phase
13721,Proceedings in Marine Technology and Ocean Engineering
9167,InSnO3
12422,Ni
1545,"Al-Ge-Nb,"
5517,Cs2NaBiBr6
17452,Y2Co17 transitions
20744,Ta
13175,PC
17413,Y-Bi
20430,consolidated tungsten ditelluride
7878,Friedel's Salt
19469,Lithium crystal structure
1702,Al17Fe3.2Mn0.8Si2
15521,stainless steel
14971,Sm2Mo3O12
5168,COSN3
12396,network
17985,Zr-P
14355,RU2SN3
2931,Bioinformatics
11402,Mo
18974,cristobalite
5487,Cs Pb Br
20465,Cu2Te
5619,CsAlSi5O12
10492,Lu-Pd Binary Phase Diagram
2888,BiF3
11849,Na2IrO3
933,"4,4-dimethyl-oxazolidine-2-one"
18553,Al6Mn
7648,FeGa3 crystal structure
1736,Al2O3
14926,SiV3
19969,Space Group: 63
20599,LuFe6Sn6
16923,U-Ni
2678,bear
14794,SiC crystal structure 6H
15931,TbGa2
15118,SN3TI2
20568,K2WO4
2287,AuTiSn
239,1-chloro-3-fluoro-propan-2-ol
19685,ni
7543,Fe3C
2344,b-n-o
3697,CD2(OH)2SO4
17000,uub
12650,Nias crystal structure
13452,pipeline inspection robot design
16512,TiH4
7018,ethenone
6595,Durga das basu Indian Constitution
16887,Tumor microenvironment immune cells antituomr
8278,Ge6Bi2Te9
1270,ag3prbr6
10300,liFePO4
2317,B Si O
7267,Fe Cr P
2025,ammonium
7526,Fe2VAl
5456,crystal structure of CeCo5
14761,Si-Ta
2041,Analysis and influenceof acetylene and propane gas during oxyfuel gas cutting of 1045 carbon steel
6027,Cu3Zn
6182,Cus
2806,Bi-Ti-O
9550,KFe2As2
2165,AsNi Crystal Structure
5677,CsI Crystal structure
3745,CdTe
10238,Li6
12677,nickel thiolate
18334,半导体
12470,Ni-Al-Mo
3438,CaBe2Ge2
16017,tensile strength
5868,Cu-Mo binary system
312,"1,1-dimethoxy-ethane"
20464,Cu-Sn
731,3-bromo 2-pentanol molecular structure
7207,fabrication and thermoeletric property of
15298,Sr2coO5 cif file
3848,ce2ru2in3
5822,Cu-Au experimental
14713,Si Crystal Structure
1760,Al2O3 space groupP
11484,Mo-Zr binary phase diagram
8605,hex-1-yne
12905,odeling of joints with clearance in flexible multibody system
4270,Co-Cr Binary Phase Diagram
15541,standard gibbs energy of formation ZnCl2
20221,ZnFe2O4
1626,al-si10-cu6
4884,consolidated nickel sulfide
12697,NiCr2O4
2569,BaPtAs
20766,Ti-V-Mo
10651,Materials · Metal Forming Data
17109,vdi
4028,CeRh2As2
738,3-butoxy-propanoic acid butyl ester
7257,Fe Co Carbon phase diagram
2553,bangap >2
15918,TbCo2 magnetic transitions
7956,Ga2S3
4815,consolidated lithium niobate
18657,bifeo3
13107,PbBi4S7
17876,ZnO
8147,Gd6Co2Si3
17615,YCo
16100,ThCr2Si2 prototype
14210,refractory gold ore
20512,FeS2
5881,Cu-Ni-Fe
20997,Ni3Ge
5071,consolidated zirconium
12532,Ni-Si Phase diagram
14809,SiCo
14330,Ru Ta
3324,Ca-Mn-Sb
13818,"Pt, work function"
12175,nb4N5
17432,Y-Sc-F
15643,SUS430
805,"3,3-diethyl-5-methylheptane"
16577,TiPd2Sn
9052,In4SnO8
6650,DyCo3
19893,Sc
9285,IrSn4
20578,La3Se4
9463,k3smbr6
2325,B-Cr
19400,La4Ni3O10
20910,Cu2Mn3Al20
20987,Nb
16040,terthiophene
6449,diffusion
9640,KZnBi2
15209,sodium silicate
5791,Cu Sn Se
5788,Cu sn
14807,SiCl3F
640,"2,3,4 tetramethyl"
18184,α-Ti
7601,fe5si3 band
7347,Fe-Cr-O
15038,SmSrNiO4
1945,AlNiCe
9009,In-Database Machine Learning
1820,Al4C3
6809,employees need to adapt and embody the rapid changes of work proactive behaviour
16747,TmGa
510,"2-chloro-2,3-dimethyl-pentane"
10431,LiTi03
4919,consolidated ruthenium dioxide
6020,cu3sn
6102,CuFe2S7
8390,Grafen
2951,BiRhZr
7424,Fe-Sb-N
21359,consolidated titanium
20263,(1-methylethyl)benzene
10197,li3dyi6
7023,ethyl 2-bromo-2-methylpropanoate
5692,cspbbr3
4836,consolidated magnesium zinc
18078,ZrFeNi Ternary phase
18115,ZrO2 high pressure phase diagram
1650,AL-Zn bianry phase diagram
16765,To explore the mechanism of tobacco addiction using structural and functional MRI: a preliminary study of the role of the cerebellum‑striatum circuit
4077,cerupb
9737,La1.85Sr0.15CuO4
2691,benzene
6370,Development of Nb3Al/Cu multifilamentary superconductors
9656,La Crystal Structure
15149,SnP2
20704,SBA-15
10930,Mg4Al2
17512,Yb
4761,consolidated iron copper oxide
5625,CsBr crystal structure
6645,DyBi
382,1.0976
6974,es:Li-N-O-Zr
15401,SrFe0.9MoO3
6387,diamond
9828,La7Ru3
7416,Fe-Ru-Ga
19072,dimethyl-diphenyl-silane
8138,Gd3Ni6Sn2
14621,Se As
5459,crystal structure of Ga2O3
20415,consolidated nickel
21138,MoTe2
17469,Y2Ti2O7
20798,Y4Zr3O12
866,4- chlorobutanoic acid
10589,maganese
12501,Ni-Fe-Zr Vertical Section of Ternary Phase Diagram
11505,MO3 xrd peaks
19686,Ni Crystal Structure
15254,spin induced movement
9909,LaMnO2
15063,Sn Se
12600,Ni3Ga4
12164,nb3o7f
16859,trigonal Sb2Te3
8658,Hf-Ce
21345,NiO
13384,Phase selection rules for cast high entropy alloys: an overview
4409,co3o4 structure
2471,BaAl4Sb2O12
2331,B-Fe
16569,TiO4
21290,(E)-3-methyl-2-pentene
12215,NbN
15974,te
7432,Fe-Sn phase diagram
2647,BaZrO3
10785,mg si al
16955,UN
11098,Mn Nd phase diagram
10218,Li3PS4 crystal structure
9308,"J. Appl. Phys. 50, 3396 (1979)"
13289,pentylcyanobiphenyl
2791,Bi-K-Ti-O crystal structure
16971,UNESCO in ethics of scientific research
16373,"Ti2AlC, cif"
15009,SmCo5N
14356,Ru2Sn5
17499,Y5RU2
16332,Ti-Se
20937,HfO2
10641,Martensitic Steel
7791,FeV2O4
5180,covellite crystal structure
9944,LaNi5
16636,Tl BiCl3
19916,Si-N
10473,LSAT
5206,Cr Si B phase diagram
15182,SO3
4991,consolidated tin diselenide
364,"1,3,5-trinitro-1,3,5-triazacyclohexane"
8549,HCoO2
13498,podcasting
21186,consolidated lithium niobate
7638,FeCr2O4 crystal
8136,Gd3In3MgSiO12
12798,Nitromethane
3625,Cas28575-16-7
2809,Bi0.5Ag0.5TiO3
651,"2,4-Dinitronaphthol"
20522,GaSb
9637,kybi3
4303,Co-Mn-Si
2146,As(III)
13737,"propane, 1,1,1,2-tetrafluoro- boiling point"
232,1-Chloro-1-propyne dipol moment
20948,La2CuO4
6942,ErMnO3 crystal
13523,Poly(diglycidyl ether of Bisphenol A) epoxy resin
2525,BaMN2P2
8334,Gesim
13496,POBr3
13824,Pt2In
20671,Ni-Sn
10493,Lu-Re
18341,尿素
16025,Terephthalaldehyde
9703,La-Sb
21081,consolidated hafnium(iv) oxide
13179,PCTFE
5137,copper monosulfide
7983,GaCu
12702,NiCuZn
6468,digital economy or digital finance* or digitalization or digital technique*
7618,FeAs
10008,lattice parameter
486,2 protons 5 electrons 7 neutrons
3032,"Bone Structure, Development and Bone Biology"
5528,Cs2ptcl6
14161,rbybi3
7194,extrasolar
8574,Heavy waters pectra
3188,C11H12O3
2398,Ba-Cu-Y-W-O
357,"1,3-Dioxolane"
6598,dvb rcs
4752,consolidated indium sulfide
12303,Nd2Ir2O7
9371,K2CrO4
9627,KV6Sn6
676,2.4.2.12
9363,K2B4O7
10135,Li1.2TiFeO2
8686,Hf-zr phase diagram
18429,2-Octylphenol
1745,al2o3 crystal structure
16630,TIZN2
6480,dimethoxyethane
1331,AgMg4
12002,NaMnNiO2
5274,Cr-Ti
21117,iron
14770,Si1.8B5.2
5220,Cr-al
28,"""power to gas"""
4937,consolidated silicon dioxide (silica)
3499,calcanita crystal structure
615,"2,2,5,5-tetramethyl-hexane"
21205,nacl
7935,Ga-P-As
3348,Ca10(PO4)6(OH)2 crystal structure
12970,OsTe2
7735,Ferrous alloys
6255,cyclopropanecarboxylic acid butyl ester
11285,MnBi4Te
14316,rojas
9910,LaMnO3
14113,rbfeCl3
321,"1,1,3-triethoxy-butane"
14206,refractive index SnO2
10230,Li4SiO4
5774,Cu La
15530,standard gibbs energy of formation CuBr2
18350,环己酮
7079,Eu In Sb
15834,tazrhf
4726,consolidated germanium selenide
20590,Li-Zn
17616,YCo transitions
11819,Na[Al(OH)4]
11028,MgTi2O5
15091,Sn-S PHASE DIAGRAM
20362,carbon dioxide
14958,Sm-Te
13267,pent-1-ene
19511,Mg4Zn7
10091,Li-In-Cl
12216,NbNi
4057,ceru2zn2
14604,sd_0260536
20142,W2C melting temperature
11615,MoO3
1043,90-05-1 sound
15793,tank
12603,Ni3Mo3C
14415,s-fe phase diagram
3134,C-Co-Ti
10432,LiTi2(PO4)3
20552,Hongos
3397,Ca3MgAl4O10
5225,Cr-Ce-Ni
12423,Ni
13840,Pt3Te4
9585,KMn6B5
16183,Thermodynamic analysis for the refining ability of salt flux for aluminum recycling.
5466,crystal structure of TiO2
5506,Cs2CrCl4 bandgap
10381,LiNiMnCoO2
20630,MnBi
20079,TiO2 bandgap
20960,Mg
11898,na3rhcl6
9344,K-Ni-Se-O
13227,PdCrO2 crystal structure
11536,MoB12 crystal structure
4716,consolidated gallium selenide
4253,Co Mn Ni Fe Cu Zr
5576,cs3ini6
18396,1-chloro-butane
17081,V5Se8
15190,sodalite melting point
2222,Au structure primitive
21260,TaS2
1787,Al2W3O12
7002,ethanol
139,(TiVZrNbTa)C
6740,"Eje: produccio, animal"
14589,ScNb6Sn6
465,1H-TaS2
14874,silver in lactic acid
13157,pbsn
17366,WTe2
6626,Dy3Al5O12
9591,KMnF3
9838,LaB6
2914,binary system
16714,tlvcl3
15493,SrTiO3 cubic
6033,CU4TI3
19240,GdCo4B
8954,HyNdNb2O7
9156,InSbDOS
2286,Authorship and Disclosure Form
19399,La3Rh4Sn13
9607,KOH
4492,CoMoS2
8726,HfO2 crystal sturcture
15940,TbMn6Ge6
8782,high temperature UC2 crystal structure
11310,MnGd
20877,consolidated cubic silicon carbide
13934,pyrimidine dielectric constant
18778,cerusi
6072,cubic close packing
8695,Hf3N2 crystal structure
4469,CoGd3
12266,Nd 2 Fe 14 B stiffness
15115,sn3n4
16036,terpineol
12517,Ni-Nb
5671,CSH
787,3-methyl-6-(1-methylethyl)cyclohexene
21074,CaMnO3
6531,disaster
17695,yttrium oxide Corrosion resistance
11216,Mn2TiGe
2720,Benzoyl iodide
19386,La0.8Sr0.2Ga0.9Mg0.1O3
18748,Ce-Co-Sn
19415,LaFeO3
20888,consolidated platinum
19929,silver
9687,La-Fe-Al phase diagram
12138,Nb-Zn
20686,pbse
2983,bismuth nitrate
12809,NL Nguyen
17733,Zinc
5792,Cu Te binary phase diagram
21230,ZnS
8808,Ho-Cr
825,304 stainless steel
16763,TmV6Sn6
2905,BiIrTi
8026,GaN Crystal Structure
14662,semi-conductive
11378,MnSexTe1-x
3831,Ce2Fe3Si5
11007,MgO band gap
12982,oxygen
21152,SnO2
7429,Fe-Si
1385,AL
5211,Cr Ti O
980,5052
18301,элементарная ячейка
19949,SmCo5
194,\CrSe2 crystal structure
19376,La-Al-O
4943,consolidated silver iodide
20407,consolidated lead
19959,SnIP
12539,Ni-Ti binary phase
